Date,Price,Open,High,Low,Vol.,Change %,Price (USD),Market Cap (USD),24h Volume (USD),24h Change (%)
2025-02-10,2639.31,2654.07,2666.38,2520.02,481638.0647,-0.556,,,,
2025-02-10,2680.91,2635.87,2689.41,2520.02,520596.5,1.709,,,,
2025-02-10,2681.14,2636.04,2689.41,2520.02,520658.5358,1.711,,,,
2025-02-10,2644.33,2643.18,2666.38,2520.02,476531.2792,0.044,,,,
2025-02-10,2680.45,2636.41,2689.41,2520.02,520644.8332,1.67,,,,
2025-02-10,2671.48,2643.29,2685.45,2520.02,511821.3805,1.066,,,,
2025-02-10,2668.25,2660.35,2684.55,2520.02,500764.7967,0.297,,,,
2025-02-10,2676.27,2640.13,2685.45,2520.02,512861.821,1.369,,,,
2025-02-10,2679.67,2635.5,2689.41,2520.02,520651.0668,1.676,,,,
2025-02-10,2682.04,2618.23,2684.55,2520.02,476021.5368,2.437,,,,
2025-02-10,2675.99,2641.08,2685.45,2520.02,513054.589,1.322,,,,
2025-02-10,2681.62,2635.7,2689.41,2520.02,520628.9483,1.742,,,,
2025-02-10,2641.02,2656.43,2666.38,2520.02,481710.7344,-0.58,,,,
2025-02-10,2672.02,2636.9,2685.45,2520.02,511385.3025,1.332,,,,
2025-02-10,2643.35,2652.88,2666.38,2520.02,481525.2658,-0.359,,,,
2025-02-10,2675.25,2639.91,2685.45,2520.02,512973.7468,1.339,,,,
2025-02-10,2650.75,2647.09,2666.38,2520.02,481718.055,0.138,,,,
2025-02-10,2674.93,2644.1,2685.45,2520.02,511714.8362,1.166,,,,
2025-02-10,2653.21,2652.32,2666.38,2520.02,482065.2672,0.034,,,,
2025-02-10,2671.04,2638.99,2685.45,2520.02,512413.9593,1.214,,,,
2025-02-10,2680.9,2635.99,2689.41,2520.02,520593.5703,1.704,,,,
2025-02-10,2677.74,2642.59,2685.45,2520.02,514269.2374,1.33,,,,
2025-02-10,2680.45,2634.01,2689.41,2520.02,520648.173,1.763,,,,
2025-02-10,2639.19,2657.02,2666.38,2520.02,481633.9573,-0.671,,,,
2025-02-10,2661.18,2651.58,2684.55,2520.02,497368.5579,0.362,,,,
2025-02-10,2648.39,2648.5,2666.38,2520.02,480801.7012,-0.004,,,,
2025-02-10,2644.37,2655.86,2666.38,2520.02,481504.6695,-0.433,,,,
2025-02-10,2669.89,2654.5,2684.55,2520.02,499399.875,0.58,,,,
2025-02-10,2676.8,2642.33,2685.45,2520.02,515316.6496,1.305,,,,
2025-02-10,2646.39,2644.22,2666.38,2520.02,480979.7334,0.082,,,,
