Date,Price,Open,High,Low,Vol.,Change %
2025-02-10,202.83,201.63,205.97,193.53,3776004.755,0.595
2025-02-10,203.16,199.39,209.05,193.53,4278964.641,1.891
2025-02-10,204.01,199.04,205.97,193.53,3728692.965,2.497
2025-02-10,203.19,199.72,209.05,193.53,4277128.836,1.737
2025-02-10,208.0,196.99,208.06,193.53,3826903.246,5.589
2025-02-10,203.26,200.02,209.05,193.53,4273570.607,1.62
2025-02-10,203.86,200.2,205.97,193.53,3777271.71,1.828
2025-02-10,203.11,200.03,209.05,193.53,4264133.64,1.54
2025-02-10,202.82,201.36,209.05,193.53,4229441.107,0.725
2025-02-10,203.04,200.04,209.05,193.53,4265568.943,1.5
2025-02-10,203.22,199.99,205.97,193.53,3753755.334,1.615
2025-02-10,203.17,200.24,209.05,193.53,4248675.32,1.463
2025-02-10,208.26,197.33,209.05,193.53,3853415.896,5.539
2025-02-10,203.3,200.18,209.05,193.53,4252011.971,1.559
2025-02-10,207.54,197.2,207.78,193.53,3795476.85,5.243
2025-02-10,203.38,200.78,209.05,193.53,4253037.697,1.295
2025-02-10,206.71,197.49,206.94,193.53,3761834.743,4.669
2025-02-10,203.4,200.83,209.05,193.53,4166437.021,1.28
2025-02-10,203.57,201.35,209.05,193.53,4189801.54,1.103
2025-02-10,205.24,198.7,205.97,193.53,3737851.867,3.291
2025-02-10,203.52,201.51,209.05,193.53,4250786.394,0.997
2025-02-10,206.87,198.36,209.05,193.53,3860108.933,4.29
2025-02-10,203.55,199.19,205.97,193.53,3726509.069,2.189
2025-02-10,203.13,201.19,205.97,193.53,3778026.806,0.964
2025-02-10,203.05,200.51,209.05,193.53,4121897.917,1.267
2025-02-10,202.97,201.15,205.97,193.53,3778334.605,0.905
2025-02-10,203.6,201.14,209.05,193.53,4164607.931,1.223
2025-02-10,206.42,197.78,209.05,193.53,3865665.035,4.368
2025-02-10,207.05,198.6,209.05,193.53,3869309.911,4.255
2025-02-10,207.21,197.45,209.05,193.53,3857329.289,4.943
2025-02-10,203.48,200.92,209.05,193.53,4253185.271,1.274
2025-02-10,203.56,201.14,205.97,193.53,3778811.354,1.203
2025-02-10,203.86,199.22,205.97,193.53,3731243.603,2.329
2025-02-10,203.18,199.75,209.05,193.53,4279086.698,1.717
2025-02-10,206.79,198.38,209.05,193.53,3867476.377,4.239
2025-02-10,203.55,200.01,209.05,193.53,4276224.298,1.77
2025-02-10,206.77,198.5,209.05,193.53,3859426.614,4.166
2025-02-10,203.09,200.2,209.05,193.53,4264138.61,1.444
2025-02-10,206.73,198.44,206.8,193.53,3764396.463,4.178
2025-02-10,203.04,200.34,209.05,193.53,4246877.598,1.348
2025-02-10,203.16,201.3,205.97,193.53,3778436.346,0.924
2025-02-10,203.72,200.69,209.05,193.53,4251752.941,1.51
2025-02-10,203.67,201.01,205.97,193.53,3779925.278,1.323
2025-02-10,203.73,201.59,209.05,193.53,4236004.27,1.062
2025-02-10,206.93,197.54,209.05,193.53,3862942.588,4.753
2025-02-10,203.98,201.18,209.05,193.53,4169486.848,1.392
2025-02-10,203.45,201.22,205.97,193.53,3777353.144,1.108
2025-02-10,203.98,200.44,209.05,193.53,4142207.264,1.766
2025-02-10,203.22,201.11,205.97,193.53,3777437.762,1.049
2025-02-10,203.14,200.14,205.97,193.53,3769123.441,1.499
2025-02-10,203.37,199.45,209.05,193.53,4279390.234,1.965
2025-02-10,203.82,200.02,209.05,193.53,4266402.297,1.9
